"Owner Role","Opportunity Owner","Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Expected Revenue","Probability (%)","Age","Close Date","Created Date","Next Step","Lead Source","Type"
"CEO","Lars Malmqvist","","Opportunity180","Closed Lost","Q3-2023","6601.32","0.00","0","44.0000000000","10/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity181","Closed Won","Q3-2023","5848.56","5848.56","100","35.0000000000","01/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity182","Closed Lost","Q3-2023","6598.14","0.00","0","38.0000000000","04/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity183","Closed Won","Q3-2023","7253.73","7253.73","100","46.0000000000","12/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity184","Closed Lost","Q3-2023","5054.70","0.00","0","25.0000000000","22/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity185","Closed Won","Q3-2023","8407.26","8407.26","100","32.0000000000","29/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity186","Closed Won","Q3-2023","5592.95","5592.95","100","34.0000000000","31/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity187","Closed Won","Q3-2023","6592.55","6592.55","100","37.0000000000","03/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity188","Closed Won","Q3-2023","9039.19","9039.19","100","12.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity189","Closed Lost","Q3-2023","7989.04","0.00","0","34.0000000000","31/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity190","Closed Lost","Q3-2023","6006.24","0.00","0","8.0000000000","05/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity191","Closed Won","Q3-2023","9281.88","9281.88","100","20.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity192","Closed Won","Q3-2023","8606.94","8606.94","100","36.0000000000","02/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity193","Closed Lost","Q3-2023","6459.96","0.00","0","24.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity194","Closed Lost","Q3-2023","9372.15","0.00","0","30.0000000000","27/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity195","Closed Lost","Q3-2023","8247.51","0.00","0","28.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity196","Closed Won","Q3-2023","5307.58","5307.58","100","49.0000000000","15/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity197","Closed Won","Q3-2023","9033.27","9033.27","100","28.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity198","Closed Won","Q3-2023","9866.94","9866.94","100","20.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity199","Closed Lost","Q3-2023","6884.94","0.00","0","37.0000000000","03/08/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity102","Prospecting","Q3-2023","8543.32","854.33","10","195.0000000000","11/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity103","Prospecting","Q2-2023","7950.77","795.08","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity104","Prospecting","Q3-2023","6641.46","664.15","10","195.0000000000","05/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity105","Prospecting","Q3-2023","9303.64","930.36","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity106","Prospecting","Q3-2023","8883.41","888.34","10","195.0000000000","08/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity107","Prospecting","Q2-2023","8176.22","817.62","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity108","Prospecting","Q3-2023","5704.33","570.43","10","195.0000000000","01/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity109","Prospecting","Q3-2023","9343.38","934.34","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity0","Prospecting","Q3-2023","8538.84","853.88","10","195.0000000000","22/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity1","Prospecting","Q3-2023","6677.57","667.76","10","195.0000000000","01/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity2","Prospecting","Q3-2023","5082.41","508.24","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity3","Prospecting","Q3-2023","6964.11","696.41","10","195.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity4","Prospecting","Q3-2023","7106.71","710.67","10","195.0000000000","05/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity5","Prospecting","Q3-2023","7232.95","723.29","10","195.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity6","Prospecting","Q3-2023","8645.14","864.51","10","195.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity7","Prospecting","Q3-2023","8780.51","878.05","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity8","Prospecting","Q3-2023","9961.87","996.19","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity9","Prospecting","Q3-2023","9468.06","946.81","10","195.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity10","Prospecting","Q3-2023","7113.43","711.34","10","195.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity11","Prospecting","Q2-2023","6404.47","640.45","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity12","Prospecting","Q3-2023","5928.26","592.83","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity13","Prospecting","Q2-2023","5265.08","526.51","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity14","Prospecting","Q3-2023","5442.03","544.20","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity15","Prospecting","Q3-2023","6331.41","633.14","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity16","Prospecting","Q3-2023","6591.26","659.13","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity17","Prospecting","Q3-2023","7336.61","733.66","10","195.0000000000","20/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity52","Prospecting","Q3-2023","7855.39","785.54","10","195.0000000000","20/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity53","Prospecting","Q3-2023","6397.67","639.77","10","195.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity54","Prospecting","Q3-2023","7313.26","731.33","10","195.0000000000","13/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity55","Prospecting","Q3-2023","9785.27","978.53","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity56","Prospecting","Q3-2023","7205.88","720.59","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity57","Prospecting","Q3-2023","9733.13","973.31","10","195.0000000000","03/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity58","Prospecting","Q3-2023","8270.67","827.07","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity59","Prospecting","Q3-2023","9062.91","906.29","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity60","Prospecting","Q3-2023","6701.55","670.15","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity61","Prospecting","Q3-2023","6111.84","611.18","10","195.0000000000","13/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity62","Prospecting","Q2-2023","9671.14","967.11","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity63","Prospecting","Q3-2023","5229.62","522.96","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity64","Prospecting","Q3-2023","7636.11","763.61","10","195.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity65","Prospecting","Q3-2023","7916.17","791.62","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity66","Prospecting","Q3-2023","6387.13","638.71","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity67","Prospecting","Q3-2023","9080.91","908.09","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity68","Prospecting","Q3-2023","9698.07","969.81","10","195.0000000000","01/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity18","Prospecting","Q3-2023","6394.92","639.49","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity19","Prospecting","Q3-2023","8568.94","856.89","10","195.0000000000","05/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity20","Prospecting","Q2-2023","5194.33","519.43","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity21","Prospecting","Q3-2023","6316.09","631.61","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity22","Prospecting","Q3-2023","5400.03","540.00","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity23","Prospecting","Q3-2023","9706.10","970.61","10","195.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity24","Prospecting","Q3-2023","6825.69","682.57","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity25","Prospecting","Q3-2023","9056.04","905.60","10","195.0000000000","12/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity26","Prospecting","Q3-2023","9583.60","958.36","10","195.0000000000","13/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity27","Prospecting","Q3-2023","6632.07","663.21","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity28","Prospecting","Q3-2023","7082.58","708.26","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity29","Prospecting","Q3-2023","5748.00","574.80","10","195.0000000000","03/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity30","Prospecting","Q3-2023","9979.03","997.90","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity31","Prospecting","Q3-2023","5146.55","514.66","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity32","Prospecting","Q3-2023","8845.54","884.55","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity33","Prospecting","Q3-2023","5035.30","503.53","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity110","Prospecting","Q3-2023","6448.96","644.90","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity111","Prospecting","Q3-2023","7328.47","732.85","10","195.0000000000","20/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity112","Prospecting","Q3-2023","5385.20","538.52","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity113","Prospecting","Q3-2023","9945.36","994.54","10","195.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity114","Prospecting","Q3-2023","5691.06","569.11","10","195.0000000000","04/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity115","Prospecting","Q3-2023","9394.33","939.43","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity116","Prospecting","Q3-2023","5061.03","506.10","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity117","Prospecting","Q2-2023","6526.22","652.62","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity118","Prospecting","Q3-2023","7506.55","750.65","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity119","Prospecting","Q3-2023","6773.88","677.39","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity120","Prospecting","Q3-2023","8275.46","827.55","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity121","Prospecting","Q2-2023","6745.21","674.52","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity122","Prospecting","Q2-2023","5687.77","568.78","10","195.0000000000","30/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity123","Prospecting","Q2-2023","7863.06","786.31","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity124","Prospecting","Q3-2023","8325.46","832.55","10","195.0000000000","01/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity125","Prospecting","Q3-2023","9620.20","962.02","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity126","Prospecting","Q3-2023","8756.60","875.66","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity127","Prospecting","Q2-2023","8746.28","874.63","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity128","Prospecting","Q3-2023","9750.89","975.09","10","195.0000000000","08/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity34","Prospecting","Q3-2023","6746.64","674.66","10","195.0000000000","08/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity35","Prospecting","Q2-2023","9231.82","923.18","10","195.0000000000","30/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity36","Prospecting","Q3-2023","7152.64","715.26","10","195.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity37","Prospecting","Q3-2023","8169.80","816.98","10","195.0000000000","22/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity38","Prospecting","Q3-2023","9272.28","927.23","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity39","Prospecting","Q3-2023","9976.01","997.60","10","195.0000000000","27/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity40","Prospecting","Q3-2023","8366.17","836.62","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity41","Prospecting","Q3-2023","6449.53","644.95","10","195.0000000000","13/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity42","Prospecting","Q3-2023","8172.02","817.20","10","195.0000000000","25/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity43","Prospecting","Q3-2023","8766.05","876.60","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity44","Prospecting","Q3-2023","6561.26","656.13","10","195.0000000000","18/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity45","Prospecting","Q3-2023","7357.22","735.72","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity46","Prospecting","Q3-2023","5917.14","591.71","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity47","Prospecting","Q3-2023","9607.67","960.77","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity48","Prospecting","Q3-2023","9676.66","967.67","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity49","Prospecting","Q3-2023","8115.65","811.56","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity50","Prospecting","Q3-2023","9006.77","900.68","10","195.0000000000","04/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity51","Prospecting","Q3-2023","5727.41","572.74","10","195.0000000000","01/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity69","Prospecting","Q3-2023","8702.11","870.21","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity70","Prospecting","Q3-2023","9718.26","971.83","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity71","Prospecting","Q3-2023","7137.55","713.75","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity72","Prospecting","Q3-2023","9530.70","953.07","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity73","Prospecting","Q3-2023","5416.55","541.66","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity74","Prospecting","Q3-2023","9687.54","968.75","10","195.0000000000","05/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity75","Prospecting","Q3-2023","8541.81","854.18","10","195.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity76","Prospecting","Q2-2023","8831.56","883.16","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity77","Prospecting","Q3-2023","9309.75","930.97","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity78","Prospecting","Q3-2023","7897.60","789.76","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity79","Prospecting","Q3-2023","6802.73","680.27","10","195.0000000000","08/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity80","Prospecting","Q3-2023","8027.83","802.78","10","195.0000000000","24/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity81","Prospecting","Q3-2023","6366.86","636.69","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity82","Prospecting","Q3-2023","9213.45","921.34","10","195.0000000000","03/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity83","Prospecting","Q2-2023","6237.00","623.70","10","195.0000000000","30/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity84","Prospecting","Q3-2023","6263.97","626.40","10","195.0000000000","22/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity85","Prospecting","Q3-2023","9198.00","919.80","10","195.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity144","Prospecting","Q3-2023","8450.37","845.04","10","195.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity145","Prospecting","Q3-2023","5581.27","558.13","10","195.0000000000","15/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity146","Prospecting","Q3-2023","5563.42","556.34","10","195.0000000000","12/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity147","Prospecting","Q3-2023","6037.89","603.79","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity148","Prospecting","Q3-2023","6400.77","640.08","10","195.0000000000","08/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity149","Prospecting","Q3-2023","5128.45","512.84","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity150","Prospecting","Q3-2023","8243.69","824.37","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity151","Prospecting","Q3-2023","9248.94","924.89","10","195.0000000000","04/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity152","Prospecting","Q3-2023","8546.61","854.66","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity153","Prospecting","Q3-2023","5551.02","555.10","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity154","Prospecting","Q3-2023","5731.07","573.11","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity155","Prospecting","Q3-2023","5306.81","530.68","10","195.0000000000","21/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity156","Prospecting","Q3-2023","8413.20","841.32","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity157","Prospecting","Q3-2023","6465.57","646.56","10","195.0000000000","09/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity158","Prospecting","Q3-2023","8956.04","895.60","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity159","Prospecting","Q3-2023","5298.38","529.84","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity160","Prospecting","Q3-2023","6215.67","621.57","10","195.0000000000","22/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity161","Prospecting","Q3-2023","8761.95","876.19","10","195.0000000000","04/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity162","Prospecting","Q3-2023","7395.67","739.57","10","195.0000000000","14/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity86","Prospecting","Q2-2023","8321.93","832.19","10","195.0000000000","30/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity87","Prospecting","Q3-2023","7830.71","783.07","10","195.0000000000","18/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity88","Prospecting","Q2-2023","8990.10","899.01","10","195.0000000000","28/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity89","Prospecting","Q3-2023","9335.61","933.56","10","195.0000000000","26/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity90","Prospecting","Q2-2023","7688.63","768.86","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity91","Prospecting","Q2-2023","7655.90","765.59","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity92","Prospecting","Q3-2023","7031.28","703.13","10","195.0000000000","19/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity93","Prospecting","Q3-2023","5036.84","503.68","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity94","Prospecting","Q3-2023","8304.54","830.45","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity95","Prospecting","Q3-2023","5531.42","553.14","10","195.0000000000","04/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity96","Prospecting","Q2-2023","9223.65","922.37","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity97","Prospecting","Q3-2023","9025.12","902.51","10","195.0000000000","10/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity98","Prospecting","Q3-2023","9259.40","925.94","10","195.0000000000","13/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity99","Prospecting","Q2-2023","9942.53","994.25","10","195.0000000000","29/06/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity100","Prospecting","Q3-2023","7161.64","716.16","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity101","Prospecting","Q3-2023","5174.93","517.49","10","195.0000000000","23/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity129","Prospecting","Q3-2023","5933.33","593.33","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity130","Prospecting","Q3-2023","7377.45","737.75","10","195.0000000000","16/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity131","Prospecting","Q3-2023","8485.28","848.53","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity132","Prospecting","Q3-2023","7478.95","747.90","10","195.0000000000","02/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity133","Prospecting","Q3-2023","6496.27","649.63","10","195.0000000000","07/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity134","Prospecting","Q3-2023","6864.19","686.42","10","195.0000000000","17/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity135","Prospecting","Q3-2023","9437.68","943.77","10","195.0000000000","06/07/2023","27/06/2023","","",""
"CEO","Lars Malmqvist","","Opportunity136","Prospecting","Q2-2023","9487.90","948.79","10","195.0000000000","28/06/2023","27/06/2023","","",""
